mark,publication_date,file_text,author,title,год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,HC,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,автор2,автор3,линк,номер,время,Ссылка на выпуск обзора.1,"год попадания, из исходной редакции, без ""округления""",Unnamed: 22,Unnamed: 23,Unnamed: 24,Служебные отметки,LC,link_domain,num_pers
1.1*8,-,Егоров_Валентин_Шпион_его_величества.txt,Егоров Валентин,Шпион его величества,1716,Егоров Валентин,Шпион его величества,,"Чтобы противостоять в борьбе с враждебными себе боярами, стрельцами, а также великими европейскими государствами, великий московский государь был вынужден создать в своем государстве службу дознания, политического сыска - прототип современной внешней разведки. А главой ее стал наш современник, с которым судьба сыграла небольшую шутку, забросив его в великие петровские времена.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/328630,,,#Н/Д,1716.0,,,,+++++,,flibusta.is,515
3.2*108,-,Лысак_Сергей_1._Одиссея_адмирала.txt,Лысак Сергей,1. Одиссея адмирала,1715,Лысак Сергей,1. Одиссея адмирала,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/396190,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,175
3.6*41,-,Лысак_Сергей_2._Карибский_рейдер.txt,Лысак Сергей,2. Карибский рейдер ,1715,Лысак Сергей,2. Карибский рейдер ,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/456079,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,273
3.6*28,-,Лысак_Сергей_3._От_Гудзона_до_Ла-Платы.txt,Лысак Сергей,3. От Гудзона до Ла-Платы,1715,Лысак Сергей,3. От Гудзона до Ла-Платы,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/456078,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,303
3.8*26,-,Лысак_Сергей_4._Огнем_и_броней.txt,Лысак Сергей,4. Огнем и броней,1715,Лысак Сергей,4. Огнем и броней,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/433169,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,279
3.3*26,-,Лысак_Сергей_5._Дымы_над_Атлантикой.txt,Лысак Сергей,5. Дымы над Атлантикой,1715,Лысак Сергей,5. Дымы над Атлантикой,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/472263,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,315
3.1*38,-,Лысак_Сергей_6._В_начале_пути.txt,Лысак Сергей,6. В начале пути ,1715,Лысак Сергей,6. В начале пути ,Одиссея адмирала Кортеса,"Траулер, переоборудованный в рейдер, отправляется 'за зипунами' в Карибское море грабить золотые галеоны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл IMRYK16/2,,,http://flibusta.is/b/505588,,,#Н/Д,1715.0,,,,+++++,,flibusta.is,344
2.5*10,-,Галкин_Роман_2._Боярин.txt,Галкин Роман,2. Боярин,1713,Галкин Роман,2. Боярин,Игра с судьбой,"Пытаясь избежать призыва в Российскую армию, попаданец сбегает в альтернативную Россию, где на престоле сидит внучка Бориса Годунова. Но от судьбы не уйдешь. Здесь он становится рекрутом-новобранцем.",****,4,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/507072,,,#Н/Д,1713.0,,,,+++++,,flibusta.is,333
3.3*28,-,Кун_Алекс_1._Форт_Росс.txt,Кун Алекс,1. Форт Росс,1709,Кун Алекс,1. Форт Росс,Крыло двуглавого орла,"Похождения попаданца в России, на Аляске и Калифорнии. Продолжение 'Броненосцев Петра Великого'.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/269325,,,#Н/Д,1709.0,,,,+++++,,flibusta.is,240
2.4*10,-,Посняков_Андрей_1._Красный_Барон.txt,Посняков Андрей,1. Красный Барон,1705,Посняков Андрей,1. Красный Барон,Пират,"На дворе - самое начало восемнадцатого века, война за Испанское наследство, и наш современник, Андрей Громов, ведет своих верных друзей в бой!",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/346718,,,#Н/Д,1705.0,,,,+++++,,flibusta.is,464
3.3*4,-,Посняков_Андрей_2._Капитан-командор.txt,Посняков Андрей,2. Капитан-командор,1705,Посняков Андрей,2. Капитан-командор,Пират,"На дворе - самое начало восемнадцатого века, война за Испанское наследство, и наш современник, Андрей Громов, ведет своих верных друзей в бой!",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/348542,,,#Н/Д,1705.0,,,,+++++,,flibusta.is,505
3.2*83,-,Кун_Алекс_1._Архангельск.txt,Кун Алекс,1. Архангельск,1694,Кун Алекс,1. Архангельск,Броненосцы Петра Великого,"Поход на катамаране по Белому морю закончился для Александра перемещением в эпоху Петра Великого. В числе первых, с кем довелось столкнуться путешественнику во времени, оказался лично молодой царь. Под Архангельском Петр готовился строить российский флот. Волей судьбы возглавил это строительство Александр, искушенный в морском деле своего времени.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл  IMRYK 16/2,,,http://flibusta.is/b/277589,,,#Н/Д,1694.0,,,,+++++,,flibusta.is,355
3.4*47,-,Кун_Алекс_2._Посольства.txt,Кун Алекс,2. Посольства ,1694,Кун Алекс,2. Посольства ,Броненосцы Петра Великого,"Поход на катамаране по Белому морю закончился для Александра перемещением в эпоху Петра Великого. В числе первых, с кем довелось столкнуться путешественнику во времени, оказался лично молодой царь. Под Архангельском Петр готовился строить российский флот. Волей судьбы возглавил это строительство Александр, искушенный в морском деле своего времени.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл  IMRYK 16/2,,,http://flibusta.is/b/192358,,,#Н/Д,1694.0,,,,+++++,,flibusta.is,194
3.5*44,-,Кун_Алекс_3._Петербург.txt,Кун Алекс,3. Петербург,1694,Кун Алекс,3. Петербург,Броненосцы Петра Великого,"Поход на катамаране по Белому морю закончился для Александра перемещением в эпоху Петра Великого. В числе первых, с кем довелось столкнуться путешественнику во времени, оказался лично молодой царь. Под Архангельском Петр готовился строить российский флот. Волей судьбы возглавил это строительство Александр, искушенный в морском деле своего времени.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл  IMRYK 16/2,,,http://flibusta.is/b/233309,,,#Н/Д,1694.0,,,,+++++,,flibusta.is,685
3.3*4,-,Михеев_Михаил_Год_тысяча_шестьсот....txt,Михеев Михаил,Год тысяча шестьсот...,1690,Михеев Михаил,Год тысяча шестьсот...,,Молодые советские спортсмены чудом попадают в семнадцатый век. В то самое 'флибустьерское синее море'...,**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/315188,,,#Н/Д,1690.0,,,,+++++,,flibusta.is,151
2.5*22,-,Полякова_Маргарита_Острова_капитана_Блада.txt,Полякова Маргарита,Острова капитана Блада,1685,Полякова Маргарита,Острова капитана Блада,,"Наш попаданец в английского врача, который стал Питером Бладом. Первые пять глав - канон. Дальше оригинальный сюжет. Нет романтической линии с Аннабеллой.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/464446,,,#Н/Д,1685.0,,,,+++++,,flibusta.is,255
0*0,-,Хартмут_Мехтель_Абрафаксы_под_черным_флагом.txt,Хартмут Мехтель,Абрафаксы под черным флагом,1678,Хартмут Мехтель,Абрафаксы под черным флагом,,"Трое друзей - Абракс, Брабакс и Калифакс - веселые ребята, которые в поисках приключений путешествуют по всему свету и даже по разным историческим эпохам. Однажды героям попала в руки золотая чаша Монтесумы, которая, как выяснилось, была своеобразной машиной времени. Ничего не подозревающая троица угодила прямо на испанский корабль XVII века. Абрафаксов уже было собирались выбросить за борт, но нападение пиратов изменило планы испанцев, и Абрафаксы оказались на острове Тортуга, которым правила прекрасная пиратка Анне Бонни.",***,3,издано,77,ссылка на обзор,ссылка,OK,,,,,,http://flibusta.is/b/476968,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-77-5f3f57bca5159344c3ffe42d,1678.0,,,,+++++,,flibusta.is,128
4.2*13,-,Карр_Джон_Диксон_Дьявол_в_Бархате.txt,Карр Джон Диксон,Дьявол в Бархате,1675,Карр Джон Диксон,Дьявол в Бархате,,"Профессор Фентона, заключивший договор с дьяволом, переносится в Лондон 1675 года, где с ним происходят самые невероятные приключения.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/68043,,,#Н/Д,1675.0,,,,+++++,,flibusta.is,439
2.9*49,-,Белый_Александр_1._Рождение_державы.txt,Белый Александр,1. Рождение державы,1669,Белый Александр,1. Рождение державы,Славия,"Сознание нашего современника Евгения Каширского, погибшего во время террористического акта в курортном городке Испании, по воле Творца переносится в далекого предка на 333 года назад.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/503495,,,#Н/Д,1669.0,,,,+++++,,flibusta.is,605
2.5*22,-,Белый_Александр_2._Паруса_над_океаном.txt,Белый Александр,2. Паруса над океаном,1669,Белый Александр,2. Паруса над океаном,Славия,"Сознание нашего современника Евгения Каширского, погибшего во время террористического акта в курортном городке Испании, по воле Творца переносится в далекого предка на 333 года назад.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/328264,,,#Н/Д,1669.0,,,,+++++,,flibusta.is,567
2.8*50,-,Полякова_Маргарита_1._Герцог_всея_Курляндии.txt,Полякова Маргарита,1. Герцог всея Курляндии,1660,Полякова Маргарита,1. Герцог всея Курляндии,Фридрих Кетлер,"Маленькая страна, детское тело, далекое прошлое... неудачный расклад для попаданца. И то, что ты оказался сыном герцога, только усугубляет ситуацию. Слишком сильные соседи хотят поживиться за счет твоих земель, друзей в политике не существует, но однажды ты понимаешь, что окружающая тебя действительность довольно сильно отличается от того, что написано в учебнике истории. И теперь только от тебя зависит, воспользуешься ли ты представившимся шансом.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/471478,,,#Н/Д,1660.0,,,,+++++,,flibusta.is,448
3.3*29,-,Полякова_Маргарита_2._Курляндский_гандикап.txt,Полякова Маргарита,2. Курляндский гандикап,1660,Полякова Маргарита,2. Курляндский гандикап,Фридрих Кетлер,"Маленькая страна, детское тело, далекое прошлое... неудачный расклад для попаданца. И то, что ты оказался сыном герцога, только усугубляет ситуацию. Слишком сильные соседи хотят поживиться за счет твоих земель, друзей в политике не существует, но однажды ты понимаешь, что окружающая тебя действительность довольно сильно отличается от того, что написано в учебнике истории. И теперь только от тебя зависит, воспользуешься ли ты представившимся шансом.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/496493,,,#Н/Д,1660.0,,,,+++++,,flibusta.is,527
2.5*8,-,"Полякова_Маргарита_Под_парусом_""Фортуны"".txt",Полякова Маргарита,"Под парусом ""Фортуны""",1660,Полякова Маргарита,"Под парусом ""Фортуны""",,"Альтернативная история про попаданца в 1660 год. Место действия - Ямайка, Тортуга, Сицилия.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,завершено,,,http://flibusta.is/b/555141,,,#Н/Д,1660.0,,,,+++++,,flibusta.is,400
2.8*66,-,Корчевский_Юрий_Лекарь.txt,Корчевский Юрий,Лекарь,1652,Корчевский Юрий,Лекарь,,"Наш современник, хирург Никита Савельев, молодой парень 29 лет, попадает в катастрофу 'Невского экспресса' и оказывается в средневековой Руси, эпохе правления государя Алексея Михайловича. Трудно выжить, не имея денег, жилья, работы, друзей. Но Никита выжил, мало того - спас царя, иначе судьба государства могла сложиться по-иному.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/351800,,,#Н/Д,1652.0,,,,+++++,,flibusta.is,348
3.6*70,-,Калашников_Сергей_Якут.txt,Калашников Сергей,Якут,1638,Калашников Сергей,Якут,,"Попаданец в тайгу. Место, где сейчас расположен посёлок Батагай - среднее течение Яны.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/562322,,,#Н/Д,1638.0,,,,+++++,,flibusta.is,137
3.6*52,-,Хван_Дмитрий_1._Шаг_в_аномалию.txt,Хван Дмитрий,1. Шаг в аномалию,1628,Хван Дмитрий,1. Шаг в аномалию,Зерно жизни,"Байкальская тайга, пустынный край девственной природы. Именно сюда попадает научная экспедиция, отправленная российским правительством в открытую на Новой Земле пространственную аномалию. Однако вместо ожидаемого учеными нового мира, сулившего множество открытий, люди оказались в… XVII веке. Чужаков никто не ждал — ни тунгусские племена, обитавшие на берегах Ангары, ни русские казаки, шедшие к «последнему морю». Связь со своим временем потеряна, и надежды на возвращение нет. Что делать? Пытаться подстроиться под этот мир или строить свой, невзирая на трудности?",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/314563,,,#Н/Д,1628.0,,,,+++++,,flibusta.is,703
3.7*24,-,Хван_Дмитрий_2._Ангарский_Сокол.txt,Хван Дмитрий,2. Ангарский Сокол,1628,Хван Дмитрий,2. Ангарский Сокол,Зерно жизни,"Семнадцатый век на Руси — эпоха тяжелейших испытаний, неудачных войн и кровавых смут. На Романовых со всех сторон наваливался враг — и внешний, и внутренний, — норовивший урвать себе кусок. Пропавшая во времени и пространстве российская экспедиция, осознавая особую миссию, уготованную ей в этом мире, решает помочь своему Отечеству. Вот только воспримет ли государь Михаил Фёдорович всерьёз ангарских людишек и их вождя Сокола, встреченных казаками на берегах далёкой сибирской реки, куда они были посланы на отыскание новых землиц, богатых серебром и соболями? Люди Соколова между тем, достигнув берегов Амура, встречают своего главного противника — маньчжур. Новые столкновения ждут ангарцев — империя Цин не приемлет конкурентов на богатых землях Приамурья. Хватит ли у строящих свою державу сил превозмочь новые вызовы судьбы?",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/314564,,,#Н/Д,1628.0,,,,+++++,,flibusta.is,794
3.8*21,-,Хван_Дмитрий_3._Знак_Сокола.txt,Хван Дмитрий,3. Знак Сокола,1628,Хван Дмитрий,3. Знак Сокола,Зерно жизни,"Годы, проведенные научно-исследовательской экспедицией, пропавшей в далеком прошлом, шли один за другим. Вопреки всем трудностям люди не пали духом, и построенное ими среди сибирской тайги общество окрепло настолько, что заявило о себе не только на многие сотни километров окрест, но и в Европе и в Азии. Люди Соколова принимают у себя переселенцев с Руси, пытаясь встроить их в свое общество. Ангарские послы посетили Московское царство, Датское королевство и Курляндское герцогство, проникли в Корейское государство. Благодаря развитым технологиям ангарцы теперь могут предложить свою помощь и новым союзникам. На реке Сунгари продолжаются периодические стычки с маньчжурами, нередко перерастающие в сражения. Неспокойно и в забайкальских степях — вассалы Цин проверяют на прочность первые городки ангарцев на Селенге. Пока маньчжуры не воспринимают русских всерьез, принимая воинов князя Сокола за северных варваров. Сама же империя Цин крепко завязла в Китае, впереди битва за Пекин и завоевание Китая. Благодаря этому у ангарцев есть шанс в противостоянии с сильным соседом. Вот только согласны ли маньчжуры предоставить его?",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/314565,,,#Н/Д,1628.0,,,,+++++,,flibusta.is,816
3.7*23,-,Хван_Дмитрий_4._Хозяин_Амура.txt,Хван Дмитрий,4. Хозяин Амура,1628,Хван Дмитрий,4. Хозяин Амура,Зерно жизни,"Все глубже проникает в окружающий мир держава, основанная нашими современниками в глубине Сибири XVII века. Все труднее приходится и ее руководителям, и рядовым гражданам. С каждым годом все больше вызовов выпадает на долю ангарцев. Жизнь человека — это всего лишь мгновение в существовании цивилизации, но за этот короткий срок Соколову и его товарищам необходимо оставить потомкам тот задел, который поможет им выжить в будущем. В Европе все еще продолжает бушевать Тридцатилетняя война, но ход ее уже не тот. В Московской Руси вновь назревает смута и кровавая борьба за власть — претенденты на трон готовятся к схватке. Ангарцы, не особенно того желая, вновь попадают в историю — укрывают у себя спасающихся людей проигравшей стороны конфликта. Не накликают ли они этим поступком на себя беды?.. А тут снова заявила о себе почти забытая всеми аномалия. Открывшийся ангарцам мир совсем не похож ни на один из прежде ими виденных. Однако их там ждут…",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/314566,,,#Н/Д,1628.0,,,,+++++,,flibusta.is,963
2.2*6,-,Хван_Дмитрий_5._Царь_с_Востока.txt,Хван Дмитрий,5. Царь с Востока,1628,Хван Дмитрий,5. Царь с Востока,Зерно жизни,"Все глубже проникает в окружающий мир держава, основанная нашими современниками в глубине Сибири XVII века. Все труднее приходится и ее руководителям, и рядовым гражданам. С каждым годом все больше вызовов выпадает на долю ангарцев. Жизнь человека — это всего лишь мгновение в существовании цивилизации, но за этот короткий срок Соколову и его товарищам необходимо оставить потомкам тот задел, который поможет им выжить в будущем. В Европе все еще продолжает бушевать Тридцатилетняя война, но ход ее уже не тот. В Московской Руси вновь назревает смута и кровавая борьба за власть — претенденты на трон готовятся к схватке. Ангарцы, не особенно того желая, вновь попадают в историю — укрывают у себя спасающихся людей проигравшей стороны конфликта. Не накликают ли они этим поступком на себя беды?.. А тут снова заявила о себе почти забытая всеми аномалия. Открывшийся ангарцам мир совсем не похож ни на один из прежде ими виденных. Однако их там ждут…",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/546311,,,#Н/Д,1628.0,,,,+++++,,flibusta.is,1079
3.6*124,-,Калашников_Сергей_Оператор_совковой_лопаты.txt,Калашников Сергей,Оператор совковой лопаты,1620,Калашников Сергей,Оператор совковой лопаты,,"Студент с лопатой в руках угодил в дремучий лес где-то на северо-американском континенте. Кругом никого нет, а кушать хочется. И вообще жить-то нужно. Пришлось устраиваться.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/393914,,,#Н/Д,1620.0,,,,+++++,,flibusta.is,249
1.4*8,-,Крамер_Стейс_Необычайное_похищение.txt,Крамер Стейс,Необычайное похищение,1608,Крамер Стейс,Необычайное похищение,,"Ученый-историк, спортсмен, каскадер и любитель женщин, Алексей Сотников, расследуя загадочное исчезновение олигарха, оказывается в Смутном времени. Вот где он развернется, вот где он покажет себя!",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/468944,,,#Н/Д,1608.0,,,,+++++,,flibusta.is,379
1.8*12,-,Скворцов_Владимир_Смута_(дилогия).txt,Скворцов Владимир,Смута (дилогия),1608,Скворцов Владимир,Смута (дилогия),Смута,"Помолодевшие дачники-отставники попадают под Вологду, в 1608г",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/522011,,,#Н/Д,1608.0,,,,+++++,,flibusta.is,285
1.4*14,-,Корчевский_Юрий_Бунтарь._За_вольную_волю!.txt,Корчевский Юрий,Бунтарь. За вольную волю!,1607,Корчевский Юрий,Бунтарь. За вольную волю!,,"Драйв, свобода, рок-н-ролл!' - вот девиз Михаила Засекина, поклонника русского рока из Санкт-Петербурга, бунтаря и забияки. Какую сторону он выберет, угодив в XVII век, в самое восстание Болотникова?",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/514725,,,#Н/Д,1607.0,,,,+++++,,flibusta.is,592
1.7*24,-,Корчевский_Юрий_Военспец._Чужое_лицо.txt,Корчевский Юрий,Военспец. Чужое лицо,1605,Корчевский Юрий,Военспец. Чужое лицо,,"ВОЕНСПЕЦ из будущего бросает вызов истории, возглавив спецоперации против крымских татар в Диком Поле, турецких янычар при Азове и шведских захватчиков под Полтавой.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/400785,,,#Н/Д,1605.0,,,,+++++,,flibusta.is,703
2.2*12,-,"Михайловский_Александр,_Маркова_Юлия_7_Спасение_царя_Федора.txt","Михайловский Александр, Маркова Юлия",7 Спасение царя Федора,1605,"Михайловский Александр, Маркова Юлия",7 Спасение царя Федора,В закоулках Мироздания,"Самое начало семнадцатого века. Смута охватывает умы. Самозванец, называющий себя царевичем Дмитрием, идет войной на московское царство. Царь Борис Годунов внезапно умирает, а его наследнику Федору всего шестнадцать лет. Бояре свергают юного царя, приглашая на царствие Самозванца. Но в эту историю вмешивается капитан Серегин. У него задание устранить начавшуюся Смуту, чтобы русское государство продолжало крепнуть и развиваться. Достаточно ли будет для этого просто спасти царя Федора и устранить Самозванца или потребуются более жесткие меры?",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/512626,,,#Н/Д,1605.0,,,,+++++,,flibusta.is,703
2.9*30,-,Елманов_Валерий_1._Найти_себя.txt,Елманов Валерий,1. Найти себя,1600,Елманов Валерий,1. Найти себя,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/227088,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,735
3.3*15,-,Елманов_Валерий_2._Третьего_не_дано?.txt,Елманов Валерий,2. Третьего не дано?,1600,Елманов Валерий,2. Третьего не дано?,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/491259,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,789
3.6*13,-,Елманов_Валерий_3._Правдивый_ложью.txt,Елманов Валерий,3. Правдивый ложью,1600,Елманов Валерий,3. Правдивый ложью,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/238339,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,640
3.2*19,-,Елманов_Валерий_4._Поднимите_мне_веки.txt,Елманов Валерий,4. Поднимите мне веки ,1600,Елманов Валерий,4. Поднимите мне веки ,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/242696,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,775
3.8*9,-,Елманов_Валерий_5._Витязь_на_распутье.txt,Елманов Валерий,5. Витязь на распутье ,1600,Елманов Валерий,5. Витязь на распутье ,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/276799,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,864
3.7*9,-,Елманов_Валерий_6._Битвы_за_корону._Прекрасная_полячка.txt,Елманов Валерий,6. Битвы за корону. Прекрасная полячка,1600,Елманов Валерий,6. Битвы за корону. Прекрасная полячка,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/343199,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,922
2*6,-,Елманов_Валерий_7._Битвы_за_корону._Три_Федора.txt,Елманов Валерий,7. Битвы за корону. Три Федора ,1600,Елманов Валерий,7. Битвы за корону. Три Федора ,Эффект стрекозы,"После гибели первой любви Федор потерял интерес к жизни. Кинув жребий, он пошел учиться на филфак университета, по инерции угодил в десант. Да и на Руси начала XVII века он оказался случайно. Но там уж не заскучаешь, знай только вертись. Туманное пророчество старого волхва гласило, что для возвращения ему надо не только обрести самого себя, но и найти что-то и... кого-то.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,разбил цикл   imryk 15/2,,,http://flibusta.is/b/505631,,,#Н/Д,1600.0,,,,+++++,,flibusta.is,815
1.2*29,-,Дынин_Максим_1._О_дивный_новый_свет!.txt,Дынин Максим,1. О дивный новый свет!,1595,Дынин Максим,1. О дивный новый свет!,О дивный новый свет!,"Прогулочный теплоход из России 1990-х оказывается у берегов Калифорнии конца XVI века. Сначала у команды одна проблема - выжить. Но после того, как их ряды пополнятся другими хронопереселенцами, ставятся новая задача - создание Русской Америки и помощь далёкой Родине, которую вот-вот должна захлестнуть Великая Смута.",***,3,закончено,91,ссылка на обзор,ссылка,OK,,,,,,http://flibusta.is/b/599669,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-91-5f879e98aa68813be1ff11f6,1595.0,,,,+++++,,flibusta.is,751
1.1*9,-,Дынин_Максим_2._Голод_и_тьма.txt,Дынин Максим,2. Голод и тьма,1595,Дынин Максим,2. Голод и тьма,О дивный новый свет!,"Прогулочный теплоход из России 1990-х оказывается у берегов Калифорнии конца XVI века. Сначала у команды одна проблема - выжить. Но после того, как их ряды пополнятся другими хронопереселенцами, ставятся новая задача - создание Русской Америки и помощь далёкой Родине, которую вот-вот должна захлестнуть Великая Смута.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/599546,,,#Н/Д,1595.0,,,,+++++,,flibusta.is,1065
